Sign_up,User_id,Status
4/30/2019 0:00,4cRa2DUGtRd5OF,Active
3/31/2019 0:00,4cRa2DUGtRd5OF,Active
1/31/2020 0:00,4cRa2DUGtRd5OF,Active
1/31/2019 0:00,4cRa2DUGtRd5OF,Active
12/31/2019 0:00,4cRa2DUGtRd5OF,Active
7/31/2019 0:00,4cRa2DUGtRd5OF,Active
6/30/2020 0:00,4cRa2DUGtRd5OF,Active
8/31/2019 0:00,4cRa2DUGtRd5OF,Active
9/30/2019 0:00,4cRa2DUGtRd5OF,Active
4/30/2020 0:00,4cRa2DUGtRd5OF,Active
12/31/2018 0:00,4cRa2DUGtRd5OF,Active
5/31/2019 0:00,4cRa2DUGtRd5OF,Active
3/31/2020 0:00,4cRa2DUGtRd5OF,Active
10/31/2019 0:00,4cRa2DUGtRd5OF,Active
11/30/2018 0:00,4cRa2DUGtRd5OF,Active
11/30/2019 0:00,4cRa2DUGtRd5OF,Active
6/30/2019 0:00,4cRa2DUGtRd5OF,Active
2/28/2019 0:00,4cRa2DUGtRd5OF,Active
2/29/2020 0:00,4cRa2DUGtRd5OF,Active
5/31/2020 0:00,4cRa2DUGtRd5OF,Active
2/29/2020 0:00,4cSXDAu6A2KQTn,Active
2/28/2019 0:00,4cSXDAu6A2KQTn,Active
3/31/2019 0:00,4cSXDAu6A2KQTn,Active
12/31/2018 0:00,4cSXDAu6A2KQTn,Active
5/31/2020 0:00,4cSXDAu6A2KQTn,Active
7/31/2020 0:00,4cSXDAu6A2KQTn,Active
7/31/2019 0:00,4cSXDAu6A2KQTn,Active
1/31/2019 0:00,4cSXDAu6A2KQTn,Active
4/30/2020 0:00,4cSXDAu6A2KQTn,Active
11/30/2018 0:00,4cSXDAu6A2KQTn,Active
10/31/2019 0:00,4cSXDAu6A2KQTn,Active
9/30/2020 0:00,4cSXDAu6A2KQTn,Active
1/31/2020 0:00,4cSXDAu6A2KQTn,Active
4/30/2019 0:00,4cSXDAu6A2KQTn,Active
3/31/2020 0:00,4cSXDAu6A2KQTn,Active
8/31/2020 0:00,4cSXDAu6A2KQTn,Active
5/31/2019 0:00,4cSXDAu6A2KQTn,Active
10/31/2020 0:00,4cSXDAu6A2KQTn,Active
6/30/2019 0:00,4cSXDAu6A2KQTn,Active
9/30/2019 0:00,4cSXDAu6A2KQTn,Active
11/30/2019 0:00,4cSXDAu6A2KQTn,Active
12/31/2019 0:00,4cSXDAu6A2KQTn,Active
6/30/2020 0:00,4cSXDAu6A2KQTn,Active
8/31/2019 0:00,4cSXDAu6A2KQTn,Active
11/30/2019 0:00,4cRLhcm0vR9YEb,Active
1/31/2019 0:00,4cRLhcm0vR9YEb,Active
11/30/2018 0:00,4cRLhcm0vR9YEb,Active
10/31/2019 0:00,4cRLhcm0vR9YEb,Active
2/29/2020 0:00,4cRLhcm0vR9YEb,Active
9/30/2019 0:00,4cRLhcm0vR9YEb,Active
12/31/2018 0:00,4cRLhcm0vR9YEb,Active
4/30/2020 0:00,4cRLhcm0vR9YEb,Active
3/31/2020 0:00,4cRLhcm0vR9YEb,Active
7/31/2020 0:00,4cRLhcm0vR9YEb,Active
3/31/2019 0:00,4cRLhcm0vR9YEb,Active
6/30/2020 0:00,4cRLhcm0vR9YEb,Active
6/30/2019 0:00,4cRLhcm0vR9YEb,Active
1/31/2020 0:00,4cRLhcm0vR9YEb,Active
4/30/2019 0:00,4cRLhcm0vR9YEb,Active
10/31/2020 0:00,4cRLhcm0vR9YEb,Active
7/31/2019 0:00,4cRLhcm0vR9YEb,Active
5/31/2019 0:00,4cRLhcm0vR9YEb,Active
9/30/2020 0:00,4cRLhcm0vR9YEb,Active
8/31/2020 0:00,4cRLhcm0vR9YEb,Active
5/31/2020 0:00,4cRLhcm0vR9YEb,Active
8/31/2019 0:00,4cRLhcm0vR9YEb,Active
2/28/2019 0:00,4cRLhcm0vR9YEb,Active
12/31/2019 0:00,4cRLhcm0vR9YEb,Active
2/28/2019 0:00,4cSGXqDWJD2jQd,Active
6/30/2019 0:00,4cSGXqDWJD2jQd,Active
9/30/2019 0:00,4cSGXqDWJD2jQd,Active
10/31/2020 0:00,4cSGXqDWJD2jQd,Active
7/31/2020 0:00,4cSGXqDWJD2jQd,Active
7/31/2019 0:00,4cSGXqDWJD2jQd,Active
8/31/2019 0:00,4cSGXqDWJD2jQd,Active
5/31/2019 0:00,4cSGXqDWJD2jQd,Active
12/31/2019 0:00,4cSGXqDWJD2jQd,Active
4/30/2020 0:00,4cSGXqDWJD2jQd,Active
